Student_ID,Full_Name,Date_of_Birth,Grade_Level,Emergency_Contact
S06038,Alexander Cortez,2017-08-25,Grade 2,609-096-3927
S06039,Dana Harris,2012-05-14,Grade 2,313-482-1885
S06040,Emily Porter,2013-03-16,Grade 2,998-768-4939
S06041,Christine Velasquez,2018-01-08,Grade 4,762-756-1645
S06042,Joseph Hunter,2014-04-10,Grade 4,659-770-2570
S06043,Debra Bates,2012-07-27,Grade 5,414-042-6476
S06044,Miss Jasmine Nelson MD,2008-12-12,Grade 3,619-810-6137
S06045,Chad White,2006-10-30,Grade 2,911-278-6082
S06046,Deborah Jenkins,2011-08-01,Grade 3,312-368-1724
S06047,Paul Andrews,2009-01-10,Grade 5,496-018-0257
S06048,Mathew Ramirez,2018-05-22,Grade 5,047-749-5331
S06049,William Anderson,2008-07-23,Grade 2,260-649-3563
S06050,Amanda Harris,2006-10-02,Grade 2,262-500-3589
S06051,Larry Gross,2009-07-06,Grade 1,341-660-2073
S06052,andrew castro,2012-05-30,Grade 1,unknown
S06053,Tanya Miller,2010-05-18,Grade 4,589-660-7015
S06054,Matthew Levy,2009-01-17,Grade 4,288-646-0723
S06055,David Wells,2016-04-02,Grade 1,096-339-2315
S06056,natalie santos,2010-07-08,Grade 5,305-364-9034
S06057,Dennis White,2008-11-05,Grade 3,117-985-5428
S06058,Jeffrey Sanders,2014-04-26,Grade 2,977-730-0596
S06059,Bradley Taylor,2010-03-22,Grade 5,662-809-5420
S06060,Jackie Mills,2009-07-30,Grade 2,unknown
S06061,Joseph Thomas,2014-10-31,Grade 2,394-421-7024
S06062,Jill Stone,2013-05-11,Grade 2,608-693-7440
S06063,Robert Yang,2006-08-28,Grade 4,465-747-2919
S06064,Jason Hale,2009-07-15,Grade 3,466-516-1763
S06065,Jennifer Potter,2006-07-25,Grade 1,618-995-5060
S06066,Mark Jensen,2016-06-17,Grade 2,076-331-9633
S06067,Christian Ford,2007-09-23,Grade 5,206-301-6243
S06068,Jennifer Cain,2015-04-21,Grade 4,205-796-2179
S06069,Miranda Nelson,2008-06-14,Grade 2,695-968-7940
S06070,Juan Smith,2018-06-26,Grade 5,313-740-0084
S06071,Jeffrey Taylor,2009-12-06,Grade 2,837-070-9495
S06072,Adam Gardner,2012-10-18,Grade 1,472-099-0351
S06073,Valerie Sanchez,2006-06-10,Grade 3,302-740-1591
S06074,Brendan Thompson,2015-05-21,Grade 2,398-380-0290
S06075,Jonathan Weber,2011-01-21,Grade 4,617-430-1116
S06076,Mary Byrd,2009-11-08,Grade 3,980-133-1601
S06077,dr. gregory lloyd,2011-11-04,Grade 5,775-912-7906
S06078,Nicholas Collins,2015-12-18,Grade 1,981-880-4325
S06079,Mercedes Allen,2017-03-16,Grade 1,204-723-2156
S06080,scott walton,2008-09-08,Grade 3,535-638-7438
S06081,Gabrielle Bell,2010-10-08,Grade 4,196-378-5354
S06082,john smith,2007-08-28,Grade 3,701-983-2435
S06083,David Edwards,2010-03-20,Grade 3,285-441-8466
S06084,John Harris,2012-06-29,Grade 2,711-379-1928
S06085,Timothy Saunders,2018-12-04,Grade 1,287-764-5819
S06086,Wayne Kennedy,2016-11-09,Grade 4,891-429-9354
S06087,Kayla Dawson,2013-04-03,Grade 2,299-580-7163
S06088,Linda Roberts,2013-04-11,Grade 2,779-617-7357
S06089,Jonathan Johnson,2016-07-23,Grade 4,208-533-3814
S06090,Jorge Hurley,2015-05-17,Grade 5,432-882-6382
S06091,jody garcia,2017-06-08,Grade 2,697-436-1514
S06092,Kristin Martin,2014-02-12,Grade 1,884-682-9886
S06093,Billy Foster,2013-04-20,Grade 2,748-856-3439
S06094,erica hayden,2012-01-03,Grade 3,656-765-3955
S06095,Emily Robinson,2019-02-07,Grade 1,829-242-4779
S06096,Amy Stevens,2009-09-01,Grade 5,unknown
S06097,alex glover,2008-03-17,Grade 2,644-248-8386
S06098,Amanda Morris,2017-12-18,Grade 1,183-099-0342
S06099,Caleb Wilkinson,2011-09-19,Grade 4,964-207-7528
S06100,Jason Ray,2007-01-06,Grade 2,522-713-9535
S06101,Kimberly Duke,2012-01-07,Grade 5,370-027-9652
S06102,Michael Barrett,2012-07-27,Grade 2,739-359-2475
S06103,Emily Rodriguez,2015-06-13,Grade 2,931-157-7982
S06104,Monica Kelley,2014-07-05,Grade 5,468-283-9571
S06105,Lisa Williamson,2011-06-11,Grade 2,unknown
S06106,Debra Smith,2012-12-29,Grade 1,244-384-8721
S06107,Thomas Walsh,2018-05-29,Grade 4,793-649-8374
S06108,Darlene Harris,2017-08-23,Grade 5,439-201-6866
S06109,Vincent Dunn,2012-05-24,Grade 2,780-041-0534
S06110,Richard Arnold,2017-01-15,Grade 3,965-286-4064
S06111,Anita Mckay,2017-06-29,Grade 4,229-625-1111
S06112,Kristine Newman,2017-12-15,Grade 5,744-493-7599
S06113,Thomas Wilson,2015-06-22,Grade 2,135-475-5432
S06114,Leslie Robinson,2017-10-01,Grade 5,483-364-2312
S06115,Nicholas Ellis,2019-01-21,Grade 3,814-749-7598
S06116,Timothy Potter,2011-10-16,Grade 1,954-329-9839
S06117,John Boyd,2008-03-17,Grade 4,392-140-1312
S06118,Carrie Ali,2012-07-10,Grade 4,350-942-0689
S06119,William Steele,2008-05-25,Grade 2,829-782-9161
S06120,Kenneth Holmes,2016-04-03,Grade 2,281-989-1236
S06121,tracy arroyo,2007-04-29,Grade 3,436-721-0473
S06122,Andrew Middleton,2015-08-09,Grade 5,632-544-8940
S06123,Nicholas Reed,2011-08-23,Grade 3,131-150-5114
S06124,elizabeth adams,2016-03-04,Grade 2,470-156-8285
S06125,Joanna Torres,2015-09-16,Grade 5,544-076-0385
S06126,Steven Smith,2012-08-25,Grade 5,323-849-5263
S06127,Matthew Butler,2008-09-27,Grade 5,782-615-4589
S06128,Andrea Campbell,2016-09-06,Grade 2,452-810-5980
S06129,Jason Davis,2011-12-12,Grade 3,808-533-8662
S06130,Amanda Morris,2012-11-09,Grade 5,unknown
S06131,tiffany cain,2008-06-23,Grade 3,887-759-3119
S06132,Kristine Stewart,2009-01-07,Grade 4,unknown
S06133,William Brown,2009-03-30,Grade 1,828-282-0397
S06134,Michelle Tanner,2019-02-27,Grade 3,940-595-9611
S06135,Matthew Pacheco,2018-05-13,Grade 1,106-320-5382
S06136,Rachel Martinez,2018-09-21,Grade 1,906-224-4003
S06137,Jodi Lewis,2014-02-02,Grade 5,650-470-6250
S06138,Christopher Perry,2014-10-31,Grade 3,979-862-0957
S06139,Nicole Turner,2014-07-05,Grade 1,unknown
S06140,Eric Alexander,2015-11-29,Grade 4,401-942-2531
S06141,Matthew Bailey,2015-11-20,Grade 4,206-915-8902
S06142,Devin Gray,2018-07-24,Grade 5,unknown
S06143,Pamela Hall,2009-06-09,Grade 2,714-318-9873
S06144,phillip reyes,2015-01-05,Grade 3,105-656-1062
S06145,Justin Johnson,2018-01-06,Grade 1,553-739-8292
S06146,Holly Fleming,2018-08-29,Grade 5,715-787-5864
S06147,Sara Foster,2018-04-20,Grade 3,556-273-0465
S06148,Casey Haney,2015-05-03,Grade 3,745-899-9126
S06149,Megan Lloyd,2012-07-14,Grade 1,306-862-1886
S06150,Timothy Sims,2011-06-19,Grade 3,540-240-6524
S06151,Audrey Fisher,2009-02-21,Grade 4,545-964-4719
S06152,Cheryl Mora,2014-04-26,Grade 2,unknown
S06153,Gina Johnson,2008-12-27,Grade 1,584-625-4025
S06154,Sean Schmidt,2015-05-17,Grade 1,689-328-8815
S06155,Edward Frank,2008-12-29,Grade 2,710-233-4247
S06156,Luis Hill,2013-10-04,Grade 2,807-308-9684
S06157,Douglas Alvarez,2007-09-22,Grade 5,885-871-6166
S06158,Victor Edwards,2013-12-24,Grade 1,880-250-3686
S06159,Scott Frederick,2011-11-20,Grade 2,431-796-1715
S06160,Amanda Bush,2018-10-02,Grade 5,unknown
S06161,Christopher Flores,2017-08-04,Grade 3,767-871-5479
S06162,Ashley Soto,2006-10-05,Grade 1,330-375-2025
S06163,Anne Melendez,2006-09-27,Grade 4,402-440-5387
S06164,Maria White DVM,2010-07-21,Grade 5,505-141-9569
S06165,Michael Hudson,2007-11-07,Grade 1,917-409-0903
S06166,Kathleen Roth,2016-05-27,Grade 2,072-511-8577
S06167,Matthew Carroll,2009-08-10,Grade 3,340-531-0191
S06168,Hayden Arellano,2014-09-04,Grade 1,281-748-9325
S06169,Mark Church,2011-10-13,Grade 4,664-570-3581
S06170,Leslie Monroe,2014-04-02,Grade 5,356-452-8540
S06171,Nathan Jones,2008-01-15,Grade 1,699-610-2087
S06172,Stacy Larsen,2009-02-07,Grade 5,902-067-6502
S06173,Wesley Barnett,2015-01-07,Grade 4,263-862-5891
S06174,john orozco,2007-01-30,Grade 1,682-440-5498
S06175,Katherine Moore,2018-01-16,Grade 5,807-259-9116
S06176,Travis Shaffer,2012-08-01,Grade 2,637-810-9346
S06177,Aaron Kline,2016-07-30,Grade 3,283-413-8965
S06178,David Jordan,2011-08-13,Grade 4,261-682-0670
S06179,Ralph Nelson,2018-02-10,Grade 5,699-602-4393
S06180,randy villa,2016-09-24,Grade 2,027-259-1364
S06181,Sierra Reynolds,2017-11-08,Grade 2,490-386-3785
S06182,carolyn rodriguez,2008-10-29,Grade 4,214-339-7045
S06183,Christine Flores,2016-03-03,Grade 3,493-517-1455
S06184,William Williams,2009-12-11,Grade 5,306-299-0430
S06185,Daniel Myers,2018-07-21,Grade 5,119-932-2471
S06186,faith burch,2007-09-21,Grade 4,890-530-0372
S06187,Mark Richards,2016-10-23,Grade 3,900-331-1094
S06188,darrell robles,2007-11-05,Grade 4,670-686-3671
S06189,Kathleen Baker,2009-06-30,Grade 3,316-683-8959
S06190,nicholas rodriguez,2008-03-28,Grade 3,446-312-3512
S06191,Matthew White,2011-11-20,Grade 4,955-286-9802
S06192,Leon Hall,2012-04-26,Grade 3,073-572-1680
S06193,olivia livingston,2008-06-02,Grade 2,917-864-6873
S06194,Erica Atkinson,2007-12-16,Grade 5,856-353-0625
S06195,Michelle Miller,2013-12-29,Grade 4,205-970-8920
S06196,Colton Johnson DVM,2012-11-25,Grade 3,815-936-5918
S06197,robin fernandez,2010-01-29,Grade 5,479-801-2400
S06198,Sara Austin,2013-02-14,Grade 5,491-834-4634
S06199,Kimberly Bennett,2015-12-26,Grade 5,504-891-8269
S06200,Cassandra Riley,2010-07-31,Grade 5,950-624-4296
S06201,Melody Wells,2012-03-16,Grade 4,746-388-3222
S06202,Brandon Parsons,2009-12-04,Grade 1,713-775-7742
S06203,Heather Wagner,2009-05-18,Grade 4,989-272-1095
S06204,Ashley Green,2016-11-02,Grade 3,239-450-9037
S06205,Luke Young,2014-03-20,Grade 3,119-523-3652
S06206,Ronnie Bullock,2015-01-14,Grade 3,865-920-8827
S06207,rick pitts,2009-01-01,Grade 1,471-231-5728
S06208,Anita Webb,2007-07-23,Grade 3,263-029-7433
S06209,brittany campos,2008-09-13,Grade 4,295-851-0395
S06210,Chad Powell,2013-07-20,Grade 3,007-487-9924
S06211,Nicholas Frost,2009-04-06,Grade 4,324-937-7311
S06212,Ronnie Webb,2008-10-01,Grade 5,693-511-8513
S06213,Carol Fields,2015-05-25,Grade 3,921-501-1686
S06214,Carmen Alvarado,2006-11-22,Grade 4,891-367-1437
S06215,Ricky Jimenez,2017-01-09,Grade 2,810-715-4326
S06216,Angel Patel,2019-02-16,Grade 5,unknown
S06217,George Barnes,2012-07-02,Grade 2,399-738-3735
S06218,Kyle Zimmerman,2018-06-13,Grade 2,481-497-8216
S06219,Amy Sanchez,2010-12-14,Grade 4,619-482-2610
S06220,john lewis,2008-12-28,Grade 5,715-491-7241
S06221,Adrian Murray,2010-10-22,Grade 4,648-502-1296
S06222,Christopher Phillips,2013-09-20,Grade 1,735-359-4931
S06223,Brandon Fields,2011-09-12,Grade 1,378-362-7880
S06224,Scott Garcia,2010-10-05,Grade 1,892-393-2839
S06225,Haley Davis,2011-10-05,Grade 5,593-506-8662
S06226,Mr. Frank Escobar,2018-10-14,Grade 1,755-732-0076
S06227,Joseph Pittman,2010-07-06,Grade 1,301-337-9247
S06228,Joseph Johnson,2011-09-28,Grade 4,306-938-2754
S06229,Glenn Herman,2006-12-24,Grade 5,310-928-5993
S06230,Joseph Robinson,2019-02-05,Grade 4,250-025-3089
S06231,corey stone,2018-02-23,Grade 5,924-918-7126
S06232,Allison George,2016-04-23,Grade 5,673-689-3998
S06233,Elizabeth Love,2009-01-12,Grade 2,unknown
S06234,Amanda Mcdonald,2013-07-15,Grade 3,620-606-2011
S06235,Lisa Martin,2018-02-08,Grade 1,329-375-8814
S06236,Nichole Fernandez,2015-12-13,Grade 1,406-366-0970
S06237,Adam Morgan,2016-08-20,Grade 5,393-528-3988
S06238,James Sanchez,2010-09-10,Grade 5,995-683-7990
S06239,Allison Wilson,2011-11-18,Grade 1,652-476-1105
S06240,elizabeth stewart,2006-11-16,Grade 4,unknown
S06241,Kristina Moore,2018-03-08,Grade 4,252-634-9171
S06242,Jonathan White,2019-02-26,Grade 1,325-487-2851
S06243,James Ward,2014-08-25,Grade 4,121-817-4271
S06244,Sarah Peters,2014-10-09,Grade 4,135-726-6246
S06245,Ronald Wright,2018-01-30,Grade 5,955-480-5146
S06246,Thomas Martinez,2007-12-18,Grade 1,808-954-0103
S06247,Jason Rowe,2014-06-16,Grade 5,681-992-6765
S06248,Rachel Wheeler,2018-01-23,Grade 5,690-438-8479
S06249,Anne Cooper,2013-07-06,Grade 5,358-375-4979
S06250,Lonnie Lynch,2014-12-26,Grade 2,990-440-0567
S06251,Mr. Christopher Chen,2012-08-07,Grade 1,268-803-7622
S06252,Pamela Bryant,2010-03-04,Grade 1,589-612-6104
S06253,Mary Lee,2009-09-20,Grade 4,029-625-9051
S06254,Danielle Robinson,2006-05-21,Grade 3,484-892-7246
S06255,Julie Hughes,2017-11-07,Grade 4,166-716-9204
S06256,Chad Howard,2014-02-27,Grade 4,647-421-1575
S06257,Sarah Meyer,2018-07-16,Grade 1,620-654-8617
S06258,tammy cox,2016-03-10,Grade 2,901-414-3045
S06259,april odonnell,2013-11-10,Grade 3,921-256-7824
S06260,Alicia Morris,2008-11-26,Grade 3,333-137-5409
S06261,Cody Gilbert,2017-05-04,Grade 4,473-412-8815
S06262,Maurice Levy,2007-01-06,Grade 3,977-786-2375
S06263,Debra Adams,2007-08-23,Grade 2,070-663-8732
S06264,brittany jackson,2013-04-26,Grade 1,422-445-1180
S06265,Mr. Russell Nunez Jr.,2010-12-08,Grade 4,814-153-8641
S06266,Jeremiah Holmes,2016-07-09,Grade 5,566-050-0431
S06267,Michelle Smith,2016-06-29,Grade 1,601-868-6006
S06268,Lisa Lowe,2014-10-15,Grade 3,771-842-0624
S06269,Jasmine Thomas,2009-02-18,Grade 4,422-857-5878
S06270,Amber Brown,2017-10-17,Grade 2,557-847-1855
S06271,Sara Wells,2009-10-14,Grade 3,141-723-7112
S06272,Jennifer Miller,2010-12-15,Grade 1,282-391-3472
S06273,Dr. Billy Stephens,2017-06-07,Grade 1,870-608-5770
S06274,James Davis,2014-08-02,Grade 4,235-289-8558
S06275,Danny Herrera,2016-05-17,Grade 1,303-425-1659
S06276,Paige Stanley,2012-06-07,Grade 2,454-345-5465
S06277,Lonnie Pena,2011-08-07,Grade 1,147-765-4122
S06278,Charles Schroeder,2010-06-23,Grade 4,365-067-3329
S06279,Autumn Watson,2014-12-30,Grade 2,324-713-9770
S06280,Alexandria Jones,2016-12-29,Grade 5,833-474-8142
S06281,kim ward,2007-03-07,Grade 3,286-500-8315
S06282,Thomas Reyes,2006-06-05,Grade 4,283-419-4905
S06283,Kyle Jackson,2016-08-17,Grade 1,425-829-3794
S06284,Ethan Johnson,2007-05-07,Grade 3,259-576-6080
S06285,Lisa Mayer,2013-07-28,Grade 4,882-038-7768
S06286,melissa carter,2017-05-31,Grade 1,951-519-6159
S06287,Dennis Lopez,2018-09-20,Grade 1,981-728-1115
S06288,Kimberly Santos,2008-01-11,Grade 4,290-783-1183
S06289,Jeremy Schroeder,2009-01-22,Grade 2,unknown
S06290,Sarah Reilly,2009-08-03,Grade 4,385-247-3025
S06291,Cody Combs,2015-12-23,Grade 4,213-165-4912
S06292,hunter barr,2014-02-23,Grade 1,440-735-2695
S06293,Jonathan Stephens,2008-04-30,Grade 5,960-673-4254
S06294,Joseph Watson,2014-04-26,Grade 3,422-393-1926
S06295,Emily Barker,2016-04-15,Grade 1,970-076-4819
S06296,Andrew Roth,2018-08-04,Grade 5,523-311-8608
S06297,James Norman,2015-10-11,Grade 2,885-700-9764
S06298,Michael Jenkins,2014-09-23,Grade 2,829-846-7562
S06299,Carolyn Mendoza,2019-01-22,Grade 5,680-568-9138
S06300,Nicholas Owen,2014-12-14,Grade 2,108-481-4235
S06301,Emily Perez,2010-02-26,Grade 3,798-918-0492
S06302,Susan White,2013-06-18,Grade 1,398-393-3009
S06303,Brenda Tate,2015-08-06,Grade 5,746-446-9227
S06304,Heather Nelson,2013-04-11,Grade 3,230-219-4546
S06305,Ryan Zuniga,2014-12-07,Grade 5,332-629-8854
S06306,Oscar Sanford,2018-07-19,Grade 5,872-007-2712
S06307,Ruben Alexander,2017-03-31,Grade 2,332-022-7355
S06308,Zoe Gamble,2013-07-21,Grade 3,426-404-1046
S06309,Allen Thompson,2013-09-30,Grade 5,670-740-3573
S06310,Jennifer Silva,2016-07-23,Grade 5,831-235-2652
S06311,Alicia Cherry,2009-07-02,Grade 1,866-221-2100
S06312,Julia Mitchell,2016-01-06,Grade 4,544-489-7730
S06313,Joshua Moore,2009-01-09,Grade 2,unknown
S06314,Mckenzie Mcdowell,2012-11-26,Grade 3,unknown
S06315,Julie Cook,2013-01-30,Grade 3,517-310-6584
S06316,Charles Eaton,2008-07-21,Grade 5,774-537-9772
S06317,Samantha Ramirez,2011-08-23,Grade 4,618-997-7064
S06318,carrie wu,2006-07-13,Grade 1,847-543-7391
S06319,Lawrence Casey,2006-09-17,Grade 5,701-275-0049
S06320,Amy Cowan,2007-01-09,Grade 3,093-313-6977
S06321,Alexander Hoover,2014-06-28,Grade 4,801-921-6722
S06322,Christopher Lewis,2012-05-01,Grade 2,104-550-1265
S06323,Taylor Johnson DDS,2011-09-06,Grade 5,549-816-4142
S06324,Marc Davis,2018-09-06,Grade 2,218-511-9612
S06325,james herring,2008-03-03,Grade 5,305-344-1229
S06326,Patricia Terry,2010-06-17,Grade 1,749-216-4798
S06327,joshua ponce,2016-05-06,Grade 1,701-541-3310
S06328,Gary Cunningham,2012-04-24,Grade 2,unknown
S06329,Brett Cisneros,2015-11-13,Grade 1,264-086-1541
S06330,Colin Crosby,2017-08-12,Grade 2,810-142-1593
S06331,Jean Jackson,2015-01-17,Grade 1,829-664-1133
S06332,William Day,2010-10-13,Grade 4,972-974-2048
S06333,Jody Stephenson,2008-08-16,Grade 5,230-494-5726
S06334,Gabriella Patton,2010-04-13,Grade 2,823-465-8850
S06335,Mark Bradford,2010-03-27,Grade 4,470-522-6346
S06336,Mitchell Hayes,2006-11-24,Grade 4,344-553-4902
S06337,Joel Morales,2007-08-30,Grade 3,206-555-5098
S06338,troy rogers,2014-04-02,Grade 2,506-900-8216
S06339,stephanie morgan,2015-08-07,Grade 1,356-176-6918
S06340,Sharon Massey,2009-06-13,Grade 2,762-496-2515
S06341,Justin Lewis,2012-09-29,Grade 5,unknown
S06342,kimberly stone,2017-05-04,Grade 3,504-371-8508
S06343,Kelly Johnson,2011-04-10,Grade 1,347-305-0963
S06344,Dr. Victoria Walton,2018-04-28,Grade 5,102-640-0238
S06345,sarah fletcher,2006-07-21,Grade 1,863-767-3769
S06346,Andrew Anderson,2009-07-17,Grade 3,962-521-7246
S06347,michael ho,2015-08-02,Grade 2,885-573-3465
S06348,Timothy Shaw,2007-10-11,Grade 4,920-630-1594
S06349,Katie Rasmussen,2016-02-25,Grade 3,565-537-2862
S06350,Lawrence Miller,2009-04-11,Grade 5,663-376-7903
S06351,Alexander Andrews,2009-02-02,Grade 2,931-742-6502
S06352,Danielle Owen,2018-01-05,Grade 5,702-502-8405
S06353,Andre Collins,2011-05-06,Grade 2,838-820-5182
S06354,Shannon Clark,2010-07-07,Grade 5,646-958-3641
S06355,Raymond Schmidt,2008-03-22,Grade 3,175-969-5835
S06356,Chad Hunt,2009-12-03,Grade 2,431-791-3367
S06357,Kathleen Foster,2014-04-17,Grade 5,330-805-3307
S06358,Rodney Smith,2006-12-08,Grade 5,207-247-5786
S06359,Jacqueline Campbell,2014-12-31,Grade 4,384-223-6706
S06360,Jessica Clark,2018-05-07,Grade 1,056-361-6593
S06361,Kelli Rogers,2015-03-26,Grade 4,639-323-5708
S06362,Samuel Moore,2015-04-22,Grade 1,unknown
S06363,Antonio Taylor,2008-02-14,Grade 5,876-325-3593
S06364,Nathan Mcdonald,2006-12-25,Grade 1,607-132-2304
S06365,Shawn Hubbard,2013-01-09,Grade 5,572-981-0585
S06366,Cody Fields,2014-02-19,Grade 4,411-544-0126
S06367,Shannon Richards,2009-04-22,Grade 2,323-795-3262
S06368,haley mckinney,2007-11-21,Grade 3,845-724-2904
S06369,Daniel White,2006-08-11,Grade 5,912-451-2510
S06370,Charles Hall,2010-10-20,Grade 5,368-863-5408
S06371,David Butler,2017-11-25,Grade 1,332-026-7555
S06372,Shelly Wilson,2009-08-22,Grade 5,803-649-4642
S06373,dawn humphrey,2009-07-10,Grade 3,631-756-7831
S06374,Tyler Anderson,2012-07-14,Grade 5,703-485-3089
S06375,Sheri Brooks,2017-04-27,Grade 4,759-579-7168
S06376,brenda williams,2012-09-11,Grade 4,880-558-6671
S06377,Justin Lopez,2011-11-12,Grade 2,338-084-4642
S06378,Michael Whitaker,2007-08-24,Grade 3,689-710-8473
S06379,holly sanford,2017-12-25,Grade 1,155-437-3613
S06380,Cathy Mcguire,2016-08-10,Grade 1,unknown
S06381,Casey Herrera,2015-09-18,Grade 5,901-239-9988
S06382,Jonathan Palmer,2012-01-01,Grade 5,883-308-8723
S06383,Andrew Huff,2010-05-22,Grade 1,343-870-5486
S06384,Debra Harrington,2014-10-26,Grade 2,696-822-3578
S06385,jesus johnson,2010-11-30,Grade 5,749-529-3996
S06386,Karen Evans,2010-08-25,Grade 3,793-392-1736
S06387,Kenneth Marquez,2009-01-30,Grade 1,428-767-8904
S06388,Charles Chandler,2008-06-26,Grade 4,790-673-7321
S06389,Nicole Davis,2014-08-03,Grade 4,393-660-3477
S06390,Patricia Johnson,2010-10-05,Grade 1,794-504-5824
S06391,Michelle Smith,2006-09-27,Grade 2,606-268-2611
S06392,Christina Miller,2017-05-30,Grade 4,646-520-1242
S06393,Nicole Gibson,2008-12-31,Grade 3,309-251-3988
S06394,Eric Kelly,2018-02-26,Grade 5,unknown
S06395,Jessica Kidd,2007-06-29,Grade 4,391-883-8896
S06396,Patricia Brown,2010-05-05,Grade 3,608-630-7348
S06397,timothy brooks,2017-10-26,Grade 2,403-426-1923
S06398,Richard Hickman,2016-12-23,Grade 4,321-243-6582
S06399,Richard Salinas,2013-02-26,Grade 2,425-326-5420
S06400,alexander johnson,2006-11-10,Grade 2,990-924-0854
S06401,Kevin Cook,2014-09-27,Grade 1,852-718-8321
S06402,Marissa Berg,2010-07-13,Grade 3,783-647-0582
S06403,Jessica Jackson,2010-10-20,Grade 3,967-227-6558
S06404,Susan Ward,2017-04-20,Grade 5,368-271-7059
S06405,Anne Vasquez,2018-10-14,Grade 2,977-380-9544
S06406,Michelle Hutchinson,2011-11-13,Grade 5,605-213-4937
S06407,Robin Patterson,2013-07-29,Grade 3,036-706-2585
S06408,Joseph Taylor,2017-08-01,Grade 4,919-097-8736
S06409,Derek Glover,2018-05-20,Grade 4,561-646-8756
S06410,Jesse Love,2014-10-27,Grade 3,889-850-6710
S06411,Maria Faulkner,2015-07-27,Grade 2,750-475-0919
S06412,Michelle Cook,2014-10-17,Grade 3,841-009-4356
S06413,Sharon Peters,2012-04-04,Grade 2,602-875-6643
S06414,Lindsay Hughes,2014-01-01,Grade 2,368-288-9329
S06415,Cheryl Estrada,2013-04-03,Grade 5,365-397-0742
S06416,Paul Dyer,2013-09-09,Grade 3,261-956-6395
S06417,Kim Osborne,2009-03-23,Grade 3,624-301-1697
S06418,Samuel Bradley,2006-12-07,Grade 5,876-974-7678
S06419,Larry Moody,2008-04-12,Grade 5,418-255-7069
S06420,Jill Mclean,2015-06-07,Grade 3,694-664-3876
S06421,Lindsay Rivera,2012-10-15,Grade 3,522-958-2816
S06422,Lauren Ballard,2014-05-11,Grade 5,398-849-1167
S06423,Kaitlyn Allison,2008-11-28,Grade 3,237-762-3306
S06424,James Wolfe,2006-05-12,Grade 5,368-927-6475
S06425,Jeremy Alvarez,2011-07-08,Grade 2,067-611-4364
S06426,misty hernandez,2018-07-19,Grade 1,600-247-2021
S06427,Christopher Barker,2011-11-25,Grade 3,678-738-9277
S06428,Andrea Brooks,2011-01-13,Grade 3,913-552-7008
S06429,David Scott,2006-10-02,Grade 4,851-020-3413
S06430,John Lane,2013-03-26,Grade 3,622-032-8859
S06431,James Frost,2012-07-19,Grade 4,097-059-5774
S06432,Wendy Christian,2009-05-31,Grade 5,238-692-4802
S06433,Kristin Moreno,2013-05-01,Grade 1,360-888-9857
S06434,Rick Elliott,2015-05-27,Grade 2,547-972-2818
S06435,Dr. Jennifer Richardson MD,2013-02-03,Grade 5,342-239-8425
S06436,Mindy Curtis,2019-01-10,Grade 2,885-738-2682
S06437,Alexander Miller,2008-05-25,Grade 3,997-757-8957
S06438,Marisa Bender,2013-10-20,Grade 5,774-549-0100
S06439,Theresa Clay,2010-10-20,Grade 4,643-548-3977
S06440,Emily Robinson,2007-12-03,Grade 5,343-452-3350
S06441,Matthew Lopez,2011-03-14,Grade 1,393-891-7265
S06442,Brett Barnes,2008-08-10,Grade 1,unknown
S06443,Todd Reyes,2007-07-13,Grade 3,209-852-5628
S06444,donna sanders,2009-03-17,Grade 5,649-315-2552
S06445,Michael Alvarez,2006-05-06,Grade 2,339-368-0440
S06446,Charles Romero,2008-02-13,Grade 3,244-055-9964
S06447,Bryan Floyd,2009-05-18,Grade 2,761-926-2096
S06448,Karen Hayes,2017-08-27,Grade 1,755-112-0482
S06449,Allison Garcia,2017-10-21,Grade 3,unknown
S06450,Mark Santana,2008-06-08,Grade 4,331-834-8572
S06451,Carly Lowe,2018-05-10,Grade 3,234-229-8145
S06452,Christopher Todd,2014-08-10,Grade 2,375-553-2555
S06453,kelly reyes,2006-06-18,Grade 2,722-301-2185
S06454,Nathan Munoz,2017-09-24,Grade 5,405-379-4591
S06455,Victor Morgan,2016-11-28,Grade 5,514-816-4997
S06456,Margaret Diaz,2013-01-13,Grade 5,336-430-3136
S06457,Lisa Soto,2015-07-12,Grade 2,397-552-2194
S06458,Alexander Patterson,2014-02-11,Grade 2,262-773-8070
S06459,Jerry Montoya,2008-02-03,Grade 3,626-375-8476
S06460,roger hodges,2015-07-12,Grade 5,042-205-0327
S06461,jennifer lane,2015-07-02,Grade 5,255-510-7843
S06462,Jennifer Townsend,2006-09-14,Grade 1,935-640-4917
S06463,Monica Herring,2010-07-27,Grade 4,326-597-6440
S06464,Theresa Miller,2011-12-25,Grade 4,922-182-0074
S06465,Brittany Knight,2009-12-30,Grade 4,882-774-7389
S06466,James Brooks,2006-10-02,Grade 3,461-465-4882
S06467,Mark Stanley,2014-05-23,Grade 5,017-481-5947
S06468,Robert Williams,2017-07-06,Grade 3,347-324-0839
S06469,Kristen Avery,2008-04-10,Grade 4,494-660-0491
S06470,Beth Robinson,2013-09-23,Grade 1,206-588-7631
S06471,Matthew Charles,2010-06-03,Grade 1,523-567-9895
S06472,Lisa Solomon,2009-01-27,Grade 2,495-552-8450
S06473,Dale Riley,2018-11-22,Grade 5,486-736-3642
